Datum;aantal
21-jun-20;0,00
22-jun-20;0,00
23-jun-20;0,00
24-jun-20;0,00
25-jun-20;0,00
26-jun-20;0,00
27-jun-20;0,00
28-jun-20;0,00
29-jun-20;0,00
30-jun-20;0,00
1-jul-20;174,00
2-jul-20;40,00
3-jul-20;74,00
4-jul-20;157,00
5-jul-20;390,00
6-jul-20;246,00
7-jul-20;341,00
8-jul-20;572,00
9-jul-20;1316,00
10-jul-20;2209,00
11-jul-20;5283,00
12-jul-20;5283,00
13-jul-20;5137,00
14-jul-20;3871,00
15-jul-20;3153,00
16-jul-20;3613,00
17-jul-20;3999,00
18-jul-20;4968,00
19-jul-20;4620,00
20-jul-20;6959,00
21-jul-20;6799,00
22-jul-20;7015,00
23-jul-20;7062,00
24-jul-20;5644,00
25-jul-20;4616,00
26-jul-20;6347,00
27-jul-20;5626,00
28-jul-20;3585,00
29-jul-20;8257,00
30-jul-20;8436,00
31-jul-20;7320,00
1-aug-20;9479,00
2-aug-20;5495,00
3-aug-20;5306,00
4-aug-20;7948,00
5-aug-20;7043,00
6-aug-20;6869,00
7-aug-20;5958,00
8-aug-20;6287,00
9-aug-20;4672,00
10-aug-20;3069,00
11-aug-20;6185,00
12-aug-20;7166,00
13-aug-20;8010,00
14-aug-20;6535,00
15-aug-20;7166,00
16-aug-20;8010,00
17-aug-20;6535,00
18-aug-20;9333,00
19-aug-20;10735,00
20-aug-20;6931,00
21-aug-20;3533,00
22-aug-20;3132,00
23-aug-20;3216,00
24-aug-20;3460,00
25-aug-20;3253,00
26-aug-20;4419,00
27-aug-20;3834,00
28-aug-20;4913,00
29-aug-20;3784,00
30-aug-20;1656,00
31-aug-20;1247,00
1-sep-20;1429,00
2-sep-20;3929,00
;
;
